0,1145
4.233333,226
8.466667,153
12.7,188
16.933333,1065
21.166667,107
25.4,73
29.633333,41
33.866667,54
38.1,160
42.333333,0
46.566667,13
50.8,47
55.033333,45
59.266667,138
63.5,2
67.733333,92
71.966667,46
76.2,12
80.433333,1
84.666667,217
88.9,85
93.133333,79
97.366667,134
101.6,177
105.833333,1472
110.066667,857
114.3,105309
118.533333,16812
122.766667,155614
127,1241
131.233333,8705
135.466667,1680
139.7,889
143.933333,3267
148.166667,189
152.4,536
156.633333,1852
160.866667,150
165.1,13
169.333333,627
173.566667,52
177.8,205
182.033333,174
186.266667,153
190.5,660
194.733333,171
198.966667,82
203.2,80
207.433333,2
211.666667,1099
215.9,44
220.133333,95
224.366667,262
228.6,80
232.833333,204
237.066667,100
241.3,81
245.533333,96
249.766667,47
